timestep,body_id,id,x,y,z
150000.0,1.0,6.0,-0.163414,-0.573955,0.802416
150000.0,1.0,7.0,-8.32667e-17,8.32667e-17,0.0
150000.0,2.0,8.0,10.659,-0.658157,-0.36416
150000.0,2.0,9.0,10.9729,0.229508,-0.0273042
150000.0,2.0,10.0,10.314,0.887665,0.336855
150000.0,2.0,11.0,9.34105,0.658157,0.36416
150000.0,2.0,12.0,9.02708,-0.229508,0.0273042
150000.0,2.0,13.0,9.68603,-0.887665,-0.336855
150000.0,2.0,14.0,10.0,4.7581e-17,-1.48691e-18
160000.0,1.0,1.0,0.574646,0.0791859,0.814562
160000.0,1.0,2.0,0.79733,0.603499,-0.00733055
160000.0,1.0,3.0,0.222684,0.524313,-0.821893
160000.0,1.0,4.0,-0.574646,-0.0791859,-0.814562
160000.0,1.0,5.0,-0.79733,-0.603499,0.00733055
160000.0,1.0,6.0,-0.222684,-0.524313,0.821893
160000.0,1.0,7.0,-8.88178e-17,8.88178e-17,0.0
160000.0,2.0,8.0,10.6176,-0.687677,-0.381642
160000.0,2.0,9.0,10.9844,0.173468,-0.0296423
