c_com_1[1],c_com_1[2],c_com_1[3],c_com_2[1],c_com_2[2],c_com_2[3],c_vel_1[1],c_vel_1[2],c_vel_1[3],c_vel_2[1],c_vel_2[2],c_vel_2[3],c_q_1[1],c_q_1[2],c_q_1[3],c_q_1[4],c_q_2[1],c_q_2[2],c_q_2[3],c_q_2[4],c_av_1[1],c_av_1[2],c_av_1[3],c_av_2[1],c_av_2[2],c_av_2[3],c_am_1[1],c_am_1[2],c_am_1[3],c_am_2[1],c_am_2[2],c_am_2[3],c_i_1[1],c_i_1[2],c_i_1[3],c_i_2[1],c_i_2[2],c_i_2[3]
2.33321,1.19704,1.08804,2.91124,-2.53579,0.0327174,0.165149,-0.168744,-0.080499,-0.16182,0.18234,0.110391,0.642931,0.620479,-0.388179,0.225749,0.204387,-0.700272,0.516845,0.448014,0.386223,0.0124949,-0.0464454,0.189839,-0.128723,0.345474,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
2.34982,1.17951,1.07981,2.89496,-2.5169,0.0439415,0.16713,-0.181847,-0.0841874,-0.163801,0.195444,0.114079,0.64838,0.62648,-0.377092,0.211963,0.217479,-0.704349,0.519069,0.432623,0.385929,0.0141345,-0.0483769,0.192557,-0.122953,0.346071,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
2.36663,1.16068,1.07121,2.87848,-2.49671,0.0555309,0.168995,-0.194818,-0.0878058,-0.165665,0.208414,0.117698,0.653608,0.632194,-0.365945,0.198019,0.230708,-0.708057,0.52093,0.417207,0.385625,0.0158503,-0.0502392,0.194984,-0.117064,0.346753,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
2.38362,1.14055,1.06225,2.86183,-2.47523,0.0674786,0.170741,-0.207646,-0.0913518,-0.167412,0.221242,0.121244,0.658611,0.637621,-0.354745,0.18392,0.244066,-0.711388,0.522432,0.401776,0.385309,0.0176396,-0.0520293,0.197115,-0.111072,0.347518,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
2.40077,1.11915,1.05294,2.84501,-2.45247,0.0797772,0.172368,-0.220323,-0.0948228,-0.169039,0.233919,0.124715,0.663385,0.642761,-0.343498,0.169673,0.257544,-0.714333,0.523583,0.386342,0.384984,0.0194993,-0.0537442,0.198943,-0.104991,0.348366,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
2.41809,1.09649,1.04329,2.82803,-2.42845,0.092419,0.173875,-0.23284,-0.0982164,-0.170545,0.246436,0.128108,0.667926,0.647611,-0.332207,0.155283,0.271137,-0.716886,0.524386,0.370916,0.38465,0.0214264,-0.0553811,0.200465,-0.0988382,0.349292,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
2.43555,1.07259,1.0333,2.8109,-2.40319,0.105396,0.17526,-0.245187,-0.10153,-0.17193,0.258784,0.131422,0.672231,0.652172,-0.32088,0.140756,0.284835,-0.719038,0.524849,0.355508,0.384306,0.0234177,-0.0569373,0.201675,-0.0926284,0.350296,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
2.45314,1.04746,1.02298,2.79364,-2.3767,0.118701,0.176522,-0.257357,-0.104762,-0.173193,0.270954,0.134654,0.676296,0.656445,-0.309521,0.126096,0.29863,-0.720784,0.524979,0.34013,0.383954,0.02547,-0.0584103,0.202572,-0.0863778,0.351374,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
2.47085,1.02113,1.01235,2.77627,-2.349,0.132324,0.177662,-0.269341,-0.107909,-0.174332,0.282937,0.137801,0.680118,0.660428,-0.298137,0.111311,0.312514,-0.722116,0.524781,0.32479,0.383595,0.0275798,-0.0597976,0.203152,-0.0801028,0.352524,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
2.48866,0.993601,1.00141,2.75878,-2.32012,0.146258,0.178677,-0.28113,-0.110969,-0.175347,0.294726,0.140861,0.683692,0.664121,-0.286731,0.0964052,0.326478,-0.723028,0.524264,0.3095,0.383228,0.0297438,-0.0610968,0.203415,-0.0738193,0.353742,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
