timestep,body_id,id,x,y,z
15000.0,1.0,4.0,-0.587195,0.755517,0.240258
15000.0,1.0,5.0,-0.238011,-0.151269,0.00401646
15000.0,1.0,6.0,0.746061,-0.297315,-0.0973453
15000.0,1.0,7.0,0.396877,0.609471,0.138897
15000.0,2.0,8.0,1.41468,1.11902,2.37216
15000.0,2.0,9.0,1.03856,2.02077,2.15914
15000.0,2.0,10.0,0.348516,2.42867,2.75701
15000.0,2.0,11.0,0.0345864,1.93481,3.56791
15000.0,2.0,12.0,0.410703,1.03306,3.78093
15000.0,2.0,13.0,1.10075,0.625163,3.18306
15000.0,2.0,14.0,0.724633,1.52692,2.97003
16000.0,1.0,1.0,1.3944,0.527063,-0.0589964
16000.0,1.0,2.0,1.05342,1.43438,0.186988
16000.0,1.0,3.0,0.0774159,1.57316,0.354811
16000.0,1.0,4.0,-0.557598,0.804619,0.276649
16000.0,1.0,5.0,-0.216611,-0.102696,0.0306641
16000.0,1.0,6.0,0.759389,-0.241474,-0.137159
16000.0,1.0,7.0,0.418402,0.665841,0.108826
16000.0,2.0,8.0,1.35745,1.17262,2.51118
16000.0,2.0,9.0,1.01093,2.08621,2.29838
